sentence1,sentence2,label
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.15
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.67
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.1
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.25
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.9
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.69
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.67
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.67
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.08
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.15
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.05
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.97
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.7
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.21
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.06
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.87
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.73
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.91
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.67
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.83
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.95
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.66
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.83
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.74
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.82
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.61
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.77
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.87
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.83
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.98
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.67
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.11
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.11
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.24
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.2
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.94
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.63
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.74
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.91
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.96
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.85
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.99
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.88
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.92
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.84
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.96
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.7
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.08
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.63
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.5
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.95
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.98
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.3
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.07
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.27
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.26
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.93
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.9
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.74
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.82
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.65
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.87
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.92
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.9
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.88
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.67
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.24
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.85
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.99
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.05
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.87
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.87
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng tôi đều uống trà.,0.81
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.86
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.24
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.67
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.04
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.83
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.03
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.86
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.86
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.77
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.16
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.01
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.89
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.07
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.11
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.92
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.66
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.89
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.37
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.85
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.85
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.06
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.88
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.89
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.21
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.91
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.3
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.87
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.68
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.79
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.88
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.96
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.22
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.75
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.89
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.5
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.27
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.11
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.78
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.78
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.93
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.07
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.1
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.23
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.72
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.64
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.26
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.98
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.88
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.7
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.93
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.07
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.95
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.97
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.86
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.28
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.81
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.72
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.92
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.97
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.99
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.77
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.84
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.96
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.99
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.73
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.87
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.99
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
