sentence1,sentence2,label
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.09
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.86
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.98
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.4
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.02
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.82
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.02
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.96
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.8
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.91
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.82
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.24
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.76
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.88
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.81
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.86
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.1
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.99
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.25
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.29
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.92
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.88
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.61
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.16
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.79
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.28
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.79
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.72
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.85
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.64
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.7
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.01
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.78
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.95
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.72
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.75
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.84
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.29
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.66
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.03
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.04
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.68
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.81
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.94
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.46
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.66
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.85
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.87
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng tôi đều uống trà.,0.82
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.92
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.68
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.77
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.68
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.23
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.98
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.87
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.91
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.23
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.71
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.99
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.34
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.18
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.31
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.43
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.04
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.87
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.76
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.85
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.64
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.73
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.18
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.83
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.93
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.97
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.16
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.98
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.8
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.29
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.1
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.94
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.12
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.68
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.71
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.79
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.92
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.91
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.22
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.97
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.8
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.73
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.98
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.18
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.23
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.2
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.78
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.11
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.8
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.07
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.78
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.21
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.01
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo đang nghỉ ngơi trên ghế.,0.76
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.97
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.08
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.26
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.19
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.71
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.02
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.4
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.74
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.38
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.9
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.28
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",0.88
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.6
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.95
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.91
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ gió.",0.78
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.78
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.81
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.23
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.94
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.27
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.18
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,0.97
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,0.99
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.88
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trời hôm nay mưa rất to.,"Hôm nay thời tiết xấu, trời đổ mưa.",1.0
Tôi chưa từng đến Hà Nội.,Tôi đã đi Hà Nội rất nhiều lần.,0.2
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.18
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.73
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.21
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Tôi đang nấu ăn.,Tôi đang chuẩn bị bữa tối.,0.82
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.7
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.96
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.13
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.17
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.27
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.92
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.66
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.63
Anh ấy đang chơi bóng đá.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Trẻ con đang chơi đùa ngoài công viên.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.16
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.79
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,0.87
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Tôi thích uống cà phê vào buổi sáng.,Mỗi sáng mình đều uống cà phê.,1.0
Trẻ con đang chơi đùa ngoài công viên.,Bọn trẻ chơi trò chơi trong nhà.,0.41
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Tôi chưa từng đến Hà Nội.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.01
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.65
Tôi đang nấu ăn.,Tôi hiện đang chuẩn bị bữa tối.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.0
Con mèo đang nằm ngủ trên ghế sofa.,Mèo hiện đang nghỉ ngơi trên ghế.,1.0
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.14
Cô gái ấy rất thông minh.,Cô ấy học rất giỏi.,0.92
Cậu bé đang học bài.,Hôm nay là một ngày đẹp trời và tôi đang đi dạo.,0.06
Tôi đi làm bằng xe buýt mỗi ngày.,Tôi thường di chuyển bằng phương tiện công cộng.,0.73